tipo_amostra,image_id,modelo_yolo,n_gt_yolo,n_pred_yolo,tp_boxes_yolo,fp_boxes_yolo,fn_boxes_yolo,melhor_iou_yolo,iou_medio_matches_yolo,sucesso_iou_05_yolo,modelo_vlm,n_gt_vlm,n_pred_vlm,tp_boxes_vlm,fp_boxes_vlm,fn_boxes_vlm,melhor_iou_vlm,iou_medio_matches_vlm,sucesso_iou_05_vlm
yolo_fp_localizacao,04be7ff19e1c_jpg.rf.d12c401ba43560b31daddca0ed17904b.jpg,YOLOv11m,0,1,0,1,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fp_localizacao,060c1dd89fa9_jpg.rf.05c32d448aaaae6c45bf635bb9d39636.jpg,YOLOv11m,0,1,0,1,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fp_localizacao,0b0ae7579525_jpg.rf.639ae2bd3e4c5beb68a04e70ce50fc3f.jpg,YOLOv11m,0,3,0,3,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fp_localizacao,0b11bd5ddb47_jpg.rf.74c50e8d9e04fc4875f0dc60b31f73a2.jpg,YOLOv11m,0,1,0,1,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fp_localizacao,0d1bf7fff18d_jpg.rf.74ea86c7b2a3975e275f6ef7fefdaa1d.jpg,YOLOv11m,0,1,0,1,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fp_localizacao,112f561a35a2_jpg.rf.1275bf7b7e49ff14ede529c79465bed5.jpg,YOLOv11m,0,1,0,1,0,0.0,0.0,0,Gemma 4 31B-QAT,0,0,0,0,0,0.0,0.0,0
yolo_fn_localizacao,009079175305_png.rf.30202ebc137811211e1ec40f50885f42.jpg,YOLOv11m,4,2,2,0,2,0.838,0.7417,1,Gemma 4 31B-QAT,4,2,0,2,4,0.3045,0.0,0
yolo_fn_localizacao,015dcd01e58c_png.rf.26d15c2c7dcb3591d15c8e2c19006246.jpg,YOLOv11m,2,2,1,1,1,0.5887,0.5887,1,Gemma 4 31B-QAT,2,1,0,1,2,0.2617,0.0,0
yolo_fn_localizacao,044bfdc8716f_png.rf.e0202628a18204764297875c2391af52.jpg,YOLOv11m,4,2,1,1,3,0.801,0.801,1,Gemma 4 31B-QAT,4,6,0,6,4,0.3198,0.0,0
yolo_fn_localizacao,0aae81f97e63_jpg.rf.ca825dfa97692b0e241abc6405da280f.jpg,YOLOv11m,5,4,4,0,1,0.8301,0.6928,1,Gemma 4 31B-QAT,5,4,3,1,2,0.6964,0.6354,1
yolo_fn_localizacao,124a288716c3_jpg.rf.31ca0ff21718de8f9229682383fc0682.jpg,YOLOv11m,3,2,2,0,1,0.76,0.7491,1,Gemma 4 31B-QAT,3,20,0,20,3,0.4463,0.0,0
yolo_fn_localizacao,126f119597ef_png.rf.1b6376871e931c5782fa57ff7f1ee1fc.jpg,YOLOv11m,1,1,0,1,1,0.0,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.8495,0.8495,1
gemma_fp_localizacao,2c11b686387c_jpg.rf.91c0b08c95e65bfdf0dbfa72865fe140.jpg,YOLOv11m,0,0,0,0,0,0.0,0.0,0,Gemma 4 31B-QAT,0,1,0,1,0,0.0,0.0,0
gemma_fp_localizacao,42e00fe9f43d_jpg.rf.24a23e402af34560c32d6bb858fc3265.jpg,YOLOv11m,0,0,0,0,0,0.0,0.0,0,Gemma 4 31B-QAT,0,1,0,1,0,0.0,0.0,0
gemma_fn_localizacao,009079175305_png.rf.30202ebc137811211e1ec40f50885f42.jpg,YOLOv11m,4,2,2,0,2,0.838,0.7417,1,Gemma 4 31B-QAT,4,2,0,2,4,0.3045,0.0,0
gemma_fn_localizacao,015dcd01e58c_png.rf.26d15c2c7dcb3591d15c8e2c19006246.jpg,YOLOv11m,2,2,1,1,1,0.5887,0.5887,1,Gemma 4 31B-QAT,2,1,0,1,2,0.2617,0.0,0
gemma_fn_localizacao,044bfdc8716f_png.rf.e0202628a18204764297875c2391af52.jpg,YOLOv11m,4,2,1,1,3,0.801,0.801,1,Gemma 4 31B-QAT,4,6,0,6,4,0.3198,0.0,0
gemma_fn_localizacao,0500af923984_png.rf.68705a52111f4740c4c3a3079a05beeb.jpg,YOLOv11m,2,2,2,0,0,0.8302,0.8298,1,Gemma 4 31B-QAT,2,0,0,0,2,0.0,0.0,0
gemma_fn_localizacao,0aae81f97e63_jpg.rf.ca825dfa97692b0e241abc6405da280f.jpg,YOLOv11m,5,4,4,0,1,0.8301,0.6928,1,Gemma 4 31B-QAT,5,4,3,1,2,0.6964,0.6354,1
gemma_fn_localizacao,0b25087fdc75_png.rf.3faef6e52728d4e05f53f79a8d88d436.jpg,YOLOv11m,2,2,2,0,0,0.6969,0.667,1,Gemma 4 31B-QAT,2,1,0,1,2,0.0,0.0,0
gemma_acerta_yolo_erra,126f119597ef_png.rf.1b6376871e931c5782fa57ff7f1ee1fc.jpg,YOLOv11m,1,1,0,1,1,0.0,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.8495,0.8495,1
gemma_acerta_yolo_erra,1272bd8b6709_png.rf.56abb90f8722722b6cd769ac21323336.jpg,YOLOv11m,1,0,0,0,1,0.0,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.644,0.644,1
gemma_acerta_yolo_erra,1d35336ee690_png.rf.401471dd140c07b77e290b8d485ef699.jpg,YOLOv11m,2,3,0,3,2,0.0,0.0,0,Gemma 4 31B-QAT,2,1,1,0,1,0.6404,0.6404,1
gemma_acerta_yolo_erra,39535ca80e6b_jpg.rf.afd40edf9d6d88dd21f72f209093e7b0.jpg,YOLOv11m,1,1,0,1,1,0.4636,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.631,0.631,1
gemma_acerta_yolo_erra,53a7c7513ab0_jpg.rf.4d2b77bf478316996f2ecb170c304bb9.jpg,YOLOv11m,1,1,0,1,1,0.0,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.5572,0.5572,1
gemma_acerta_yolo_erra,5a842d3dce07_png.rf.967c55045e74f4bab019986cb75d6cc5.jpg,YOLOv11m,1,0,0,0,1,0.0,0.0,0,Gemma 4 31B-QAT,1,1,1,0,0,0.804,0.804,1
yolo_acerta_gemma_erra,009079175305_png.rf.30202ebc137811211e1ec40f50885f42.jpg,YOLOv11m,4,2,2,0,2,0.838,0.7417,1,Gemma 4 31B-QAT,4,2,0,2,4,0.3045,0.0,0
yolo_acerta_gemma_erra,015dcd01e58c_png.rf.26d15c2c7dcb3591d15c8e2c19006246.jpg,YOLOv11m,2,2,1,1,1,0.5887,0.5887,1,Gemma 4 31B-QAT,2,1,0,1,2,0.2617,0.0,0
yolo_acerta_gemma_erra,044bfdc8716f_png.rf.e0202628a18204764297875c2391af52.jpg,YOLOv11m,4,2,1,1,3,0.801,0.801,1,Gemma 4 31B-QAT,4,6,0,6,4,0.3198,0.0,0
yolo_acerta_gemma_erra,0500af923984_png.rf.68705a52111f4740c4c3a3079a05beeb.jpg,YOLOv11m,2,2,2,0,0,0.8302,0.8298,1,Gemma 4 31B-QAT,2,0,0,0,2,0.0,0.0,0
yolo_acerta_gemma_erra,0b25087fdc75_png.rf.3faef6e52728d4e05f53f79a8d88d436.jpg,YOLOv11m,2,2,2,0,0,0.6969,0.667,1,Gemma 4 31B-QAT,2,1,0,1,2,0.0,0.0,0
yolo_acerta_gemma_erra,0c64c2d39f92_png.rf.30098430544d9a0e87024363f45d7231.jpg,YOLOv11m,1,1,1,0,0,0.892,0.892,1,Gemma 4 31B-QAT,1,1,0,1,1,0.3224,0.0,0
